Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSHealtcare,Firefox 103.0,,,2023-11-13 04:50:14,2023-11-13 04:52:07,"1m - 53,021s",PASSED
,,,,,,,
Test Cases/Healthcare/Auth/LoginSuccess,Firefox 103.0,,,2023-11-13 04:50:14,2023-11-13 04:50:27,"12,668s",PASSED
"openBrowser("""")",Firefox 103.0,,,2023-11-13 04:50:14,2023-11-13 04:50:18,"3,752s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 103.0,,,2023-11-13 04:50:18,2023-11-13 04:50:23,"4,934s",PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""), 30)",Firefox 103.0,,,2023-11-13 04:50:23,2023-11-13 04:50:24,"0,413s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Firefox 103.0,,,2023-11-13 04:50:24,2023-11-13 04:50:24,"0,547s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""))",Firefox 103.0,,,2023-11-13 04:50:24,2023-11-13 04:50:25,"0,777s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 103.0,,,2023-11-13 04:50:25,2023-11-13 04:50:26,"0,731s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 103.0,,,2023-11-13 04:50:26,2023-11-13 04:50:26,"0,356s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Firefox 103.0,,,2023-11-13 04:50:26,2023-11-13 04:50:27,"0,984s",PASSED
,,,,,,,
Test Cases/Healthcare/Auth/LoginFailedUsername,Firefox 103.0,,,2023-11-13 04:50:27,2023-11-13 04:50:39,"11,962s",PASSED
"openBrowser("""")",Firefox 103.0,,,2023-11-13 04:50:27,2023-11-13 04:50:30,"3,353s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 103.0,,,2023-11-13 04:50:30,2023-11-13 04:50:36,"5,163s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Firefox 103.0,,,2023-11-13 04:50:36,2023-11-13 04:50:36,"0,530s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Firefox 103.0,,,2023-11-13 04:50:36,2023-11-13 04:50:37,"0,761s",PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""Budi Anduk"")",Firefox 103.0,,,2023-11-13 04:50:37,2023-11-13 04:50:38,"0,732s",PASSED
