Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS4,Firefox 103.0,,,2023-11-11 18:25:34,2023-11-11 18:26:30,"56,361s",PASSED
,,,,,,,
Test Cases/Healthcare/ClickComment,Firefox 103.0,,,2023-11-11 18:25:34,2023-11-11 18:25:57,"23,440s",PASSED
"openBrowser("""")",Firefox 103.0,,,2023-11-11 18:25:34,2023-11-11 18:25:38,"3,944s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 103.0,,,2023-11-11 18:25:38,2023-11-11 18:25:53,"15,012s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Firefox 103.0,,,2023-11-11 18:25:53,2023-11-11 18:25:54,"0,573s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Firefox 103.0,,,2023-11-11 18:25:54,2023-11-11 18:25:55,"0,856s",PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 103.0,,,2023-11-11 18:25:55,2023-11-11 18:25:55,"0,633s",PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 103.0,,,2023-11-11 18:25:55,2023-11-11 18:25:56,"0,371s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Firefox 103.0,,,2023-11-11 18:25:56,2023-11-11 18:25:57,"1,031s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""lorem ipsum"")",Firefox 103.0,,,2023-11-11 18:25:57,2023-11-11 18:25:57,"0,727s",PASSED
,,,,,,,
Test Cases/Healthcare/ClickDatePicker,Firefox 103.0,,,2023-11-11 18:25:58,2023-11-11 18:26:11,"13,798s",PASSED
"openBrowser("""")",Firefox 103.0,,,2023-11-11 18:25:58,2023-11-11 18:26:01,"3,269s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 103.0,,,2023-11-11 18:26:01,2023-11-11 18:26:06,"5,466s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Firefox 103.0,,,2023-11-11 18:26:06,2023-11-11 18:26:07,"0,600s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Firefox 103.0,,,2023-11-11 18:26:07,2023-11-11 18:26:08,"0,858s",PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 103.0,,,2023-11-11 18:26:08,2023-11-11 18:26:09,"0,725s",PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 103.0,,,2023-11-11 18:26:09,2023-11-11 18:26:09,"0,405s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Firefox 103.0,,,2023-11-11 18:26:09,2023-11-11 18:26:10,"1,085s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Date/datepicker""))",Firefox 103.0,,,2023-11-11 18:26:10,2023-11-11 18:26:11,"0,645s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Date/dateitem""))",Firefox 103.0,,,2023-11-11 18:26:11,2023-11-11 18:26:11,"0,527s",PASSED
,,,,,,,
Test Cases/Healthcare/HandlingOptions,Firefox 103.0,,,2023-11-11 18:26:11,2023-11-11 18:26:30,"18,913s",PASSED
"openBrowser("""")",Firefox 103.0,,,2023-11-11 18:26:12,2023-11-11 18:26:15,"3,260s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 103.0,,,2023-11-11 18:26:15,2023-11-11 18:26:26,"10,846s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Firefox 103.0,,,2023-11-11 18:26:26,2023-11-11 18:26:26,"0,544s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Firefox 103.0,,,2023-11-11 18:26:26,2023-11-11 18:26:27,"0,856s",PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 103.0,,,2023-11-11 18:26:27,2023-11-11 18:26:28,"0,606s",PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 103.0,,,2023-11-11 18:26:28,2023-11-11 18:26:28,"0,341s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Firefox 103.0,,,2023-11-11 18:26:28,2023-11-11 18:26:29,"1,024s",PASSED
"selectOptionByIndex(findTestObject(""Page_CURA Healthcare Service/selectFacility""), 2)",Firefox 103.0,,,2023-11-11 18:26:29,2023-11-11 18:26:30,"1,233s",PASSED
