Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSHealtcare,Firefox 103.0,,,2023-11-11 18:12:03,2023-11-11 18:14:42,"2m - 38,242s",PASSED
,,,,,,,
Test Cases/Healthcare/Auth/LoginSuccess,Firefox 103.0,,,2023-11-11 18:12:04,2023-11-11 18:12:22,"18,785s",PASSED
"openBrowser("""")",Firefox 103.0,,,2023-11-11 18:12:04,2023-11-11 18:12:08,"4,475s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 103.0,,,2023-11-11 18:12:08,2023-11-11 18:12:16,"7,351s",PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""), 30)",Firefox 103.0,,,2023-11-11 18:12:16,2023-11-11 18:12:16,"0,499s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Firefox 103.0,,,2023-11-11 18:12:16,2023-11-11 18:12:17,"0,589s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""))",Firefox 103.0,,,2023-11-11 18:12:17,2023-11-11 18:12:20,"3,087s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 103.0,,,2023-11-11 18:12:20,2023-11-11 18:12:21,"0,647s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 103.0,,,2023-11-11 18:12:21,2023-11-11 18:12:21,"0,415s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Firefox 103.0,,,2023-11-11 18:12:21,2023-11-11 18:12:22,"1,389s",PASSED
,,,,,,,
Test Cases/Healthcare/Auth/LoginFailedUsername,Firefox 103.0,,,2023-11-11 18:12:22,2023-11-11 18:12:39,"16,708s",PASSED
"openBrowser("""")",Firefox 103.0,,,2023-11-11 18:12:23,2023-11-11 18:12:26,"3,289s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 103.0,,,2023-11-11 18:12:26,2023-11-11 18:12:32,"6,112s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Firefox 103.0,,,2023-11-11 18:12:32,2023-11-11 18:12:33,"0,559s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Firefox 103.0,,,2023-11-11 18:12:33,2023-11-11 18:12:36,"3,879s",PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""Budi Anduk"")",Firefox 103.0,,,2023-11-11 18:12:36,2023-11-11 18:12:37,"0,651s",PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 103.0,,,2023-11-11 18:12:37,2023-11-11 18:12:38,"0,367s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Firefox 103.0,,,2023-11-11 18:12:38,2023-11-11 18:12:39,"1,612s",PASSED
,,,,,,,
Test Cases/Healthcare/Auth/LoginFailedPassword,Firefox 103.0,,,2023-11-11 18:12:39,2023-11-11 18:13:04,"25,083s",PASSED
"openBrowser("""")",Firefox 103.0,,,2023-11-11 18:12:39,2023-11-11 18:12:43,"3,206s",PASSED
